spec_path,file_path,segment_id,start,end,label_binary,label_multiclass,label_class_name,activity_code,sample_id,dataset,split
data\processed\dronerf_spectrograms\spec_000028.npy,data\raw\DroneRF\AR drone\10100H_0.csv,28,1835008,1966080,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000029.npy,data\raw\DroneRF\AR drone\10100H_0.csv,29,1900544,2031616,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000030.npy,data\raw\DroneRF\AR drone\10100H_0.csv,30,1966080,2097152,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000031.npy,data\raw\DroneRF\AR drone\10100H_0.csv,31,2031616,2162688,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000032.npy,data\raw\DroneRF\AR drone\10100H_0.csv,32,2097152,2228224,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000033.npy,data\raw\DroneRF\AR drone\10100H_0.csv,33,2162688,2293760,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000034.npy,data\raw\DroneRF\AR drone\10100H_0.csv,34,2228224,2359296,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000035.npy,data\raw\DroneRF\AR drone\10100H_0.csv,35,2293760,2424832,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000036.npy,data\raw\DroneRF\AR drone\10100H_0.csv,36,2359296,2490368,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000037.npy,data\raw\DroneRF\AR drone\10100H_0.csv,37,2424832,2555904,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000038.npy,data\raw\DroneRF\AR drone\10100H_0.csv,38,2490368,2621440,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000039.npy,data\raw\DroneRF\AR drone\10100H_0.csv,39,2555904,2686976,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000040.npy,data\raw\DroneRF\AR drone\10100H_0.csv,40,2621440,2752512,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000041.npy,data\raw\DroneRF\AR drone\10100H_0.csv,41,2686976,2818048,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000042.npy,data\raw\DroneRF\AR drone\10100H_0.csv,42,2752512,2883584,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000043.npy,data\raw\DroneRF\AR drone\10100H_0.csv,43,2818048,2949120,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000044.npy,data\raw\DroneRF\AR drone\10100H_0.csv,44,2883584,3014656,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000045.npy,data\raw\DroneRF\AR drone\10100H_0.csv,45,2949120,3080192,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000046.npy,data\raw\DroneRF\AR drone\10100H_0.csv,46,3014656,3145728,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000047.npy,data\raw\DroneRF\AR drone\10100H_0.csv,47,3080192,3211264,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000048.npy,data\raw\DroneRF\AR drone\10100H_0.csv,48,3145728,3276800,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000049.npy,data\raw\DroneRF\AR drone\10100H_0.csv,49,3211264,3342336,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000050.npy,data\raw\DroneRF\AR drone\10100H_0.csv,50,3276800,3407872,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000051.npy,data\raw\DroneRF\AR drone\10100H_0.csv,51,3342336,3473408,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000052.npy,data\raw\DroneRF\AR drone\10100H_0.csv,52,3407872,3538944,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000053.npy,data\raw\DroneRF\AR drone\10100H_0.csv,53,3473408,3604480,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000054.npy,data\raw\DroneRF\AR drone\10100H_0.csv,54,3538944,3670016,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000055.npy,data\raw\DroneRF\AR drone\10100H_0.csv,55,3604480,3735552,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000056.npy,data\raw\DroneRF\AR drone\10100H_0.csv,56,3670016,3801088,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000057.npy,data\raw\DroneRF\AR drone\10100H_0.csv,57,3735552,3866624,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000058.npy,data\raw\DroneRF\AR drone\10100H_0.csv,58,3801088,3932160,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000059.npy,data\raw\DroneRF\AR drone\10100H_0.csv,59,3866624,3997696,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000060.npy,data\raw\DroneRF\AR drone\10100H_0.csv,60,3932160,4063232,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000061.npy,data\raw\DroneRF\AR drone\10100H_0.csv,61,3997696,4128768,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000062.npy,data\raw\DroneRF\AR drone\10100H_0.csv,62,4063232,4194304,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000063.npy,data\raw\DroneRF\AR drone\10100H_0.csv,63,4128768,4259840,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000064.npy,data\raw\DroneRF\AR drone\10100H_0.csv,64,4194304,4325376,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000065.npy,data\raw\DroneRF\AR drone\10100H_0.csv,65,4259840,4390912,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000066.npy,data\raw\DroneRF\AR drone\10100H_0.csv,66,4325376,4456448,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000067.npy,data\raw\DroneRF\AR drone\10100H_0.csv,67,4390912,4521984,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000068.npy,data\raw\DroneRF\AR drone\10100H_0.csv,68,4456448,4587520,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000069.npy,data\raw\DroneRF\AR drone\10100H_0.csv,69,4521984,4653056,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000070.npy,data\raw\DroneRF\AR drone\10100H_0.csv,70,4587520,4718592,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000071.npy,data\raw\DroneRF\AR drone\10100H_0.csv,71,4653056,4784128,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000072.npy,data\raw\DroneRF\AR drone\10100H_0.csv,72,4718592,4849664,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000073.npy,data\raw\DroneRF\AR drone\10100H_0.csv,73,4784128,4915200,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000074.npy,data\raw\DroneRF\AR drone\10100H_0.csv,74,4849664,4980736,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000075.npy,data\raw\DroneRF\AR drone\10100H_0.csv,75,4915200,5046272,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000076.npy,data\raw\DroneRF\AR drone\10100H_0.csv,76,4980736,5111808,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000077.npy,data\raw\DroneRF\AR drone\10100H_0.csv,77,5046272,5177344,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000078.npy,data\raw\DroneRF\AR drone\10100H_0.csv,78,5111808,5242880,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000079.npy,data\raw\DroneRF\AR drone\10100H_0.csv,79,5177344,5308416,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000080.npy,data\raw\DroneRF\AR drone\10100H_0.csv,80,5242880,5373952,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000081.npy,data\raw\DroneRF\AR drone\10100H_0.csv,81,5308416,5439488,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000082.npy,data\raw\DroneRF\AR drone\10100H_0.csv,82,5373952,5505024,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000083.npy,data\raw\DroneRF\AR drone\10100H_0.csv,83,5439488,5570560,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000084.npy,data\raw\DroneRF\AR drone\10100H_0.csv,84,5505024,5636096,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000085.npy,data\raw\DroneRF\AR drone\10100H_0.csv,85,5570560,5701632,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000086.npy,data\raw\DroneRF\AR drone\10100H_0.csv,86,5636096,5767168,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000087.npy,data\raw\DroneRF\AR drone\10100H_0.csv,87,5701632,5832704,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000088.npy,data\raw\DroneRF\AR drone\10100H_0.csv,88,5767168,5898240,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000089.npy,data\raw\DroneRF\AR drone\10100H_0.csv,89,5832704,5963776,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000090.npy,data\raw\DroneRF\AR drone\10100H_0.csv,90,5898240,6029312,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000091.npy,data\raw\DroneRF\AR drone\10100H_0.csv,91,5963776,6094848,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000092.npy,data\raw\DroneRF\AR drone\10100H_0.csv,92,6029312,6160384,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000093.npy,data\raw\DroneRF\AR drone\10100H_0.csv,93,6094848,6225920,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000094.npy,data\raw\DroneRF\AR drone\10100H_0.csv,94,6160384,6291456,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000095.npy,data\raw\DroneRF\AR drone\10100H_0.csv,95,6225920,6356992,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000096.npy,data\raw\DroneRF\AR drone\10100H_0.csv,96,6291456,6422528,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000097.npy,data\raw\DroneRF\AR drone\10100H_0.csv,97,6356992,6488064,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000098.npy,data\raw\DroneRF\AR drone\10100H_0.csv,98,6422528,6553600,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000099.npy,data\raw\DroneRF\AR drone\10100H_0.csv,99,6488064,6619136,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000100.npy,data\raw\DroneRF\AR drone\10100H_0.csv,100,6553600,6684672,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000101.npy,data\raw\DroneRF\AR drone\10100H_0.csv,101,6619136,6750208,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000102.npy,data\raw\DroneRF\AR drone\10100H_0.csv,102,6684672,6815744,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000103.npy,data\raw\DroneRF\AR drone\10100H_0.csv,103,6750208,6881280,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000104.npy,data\raw\DroneRF\AR drone\10100H_0.csv,104,6815744,6946816,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000105.npy,data\raw\DroneRF\AR drone\10100H_0.csv,105,6881280,7012352,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000106.npy,data\raw\DroneRF\AR drone\10100H_0.csv,106,6946816,7077888,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000107.npy,data\raw\DroneRF\AR drone\10100H_0.csv,107,7012352,7143424,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000108.npy,data\raw\DroneRF\AR drone\10100H_0.csv,108,7077888,7208960,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000109.npy,data\raw\DroneRF\AR drone\10100H_0.csv,109,7143424,7274496,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000110.npy,data\raw\DroneRF\AR drone\10100H_0.csv,110,7208960,7340032,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000111.npy,data\raw\DroneRF\AR drone\10100H_0.csv,111,7274496,7405568,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000112.npy,data\raw\DroneRF\AR drone\10100H_0.csv,112,7340032,7471104,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000113.npy,data\raw\DroneRF\AR drone\10100H_0.csv,113,7405568,7536640,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000114.npy,data\raw\DroneRF\AR drone\10100H_0.csv,114,7471104,7602176,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000115.npy,data\raw\DroneRF\AR drone\10100H_0.csv,115,7536640,7667712,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000116.npy,data\raw\DroneRF\AR drone\10100H_0.csv,116,7602176,7733248,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000117.npy,data\raw\DroneRF\AR drone\10100H_0.csv,117,7667712,7798784,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000118.npy,data\raw\DroneRF\AR drone\10100H_0.csv,118,7733248,7864320,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000119.npy,data\raw\DroneRF\AR drone\10100H_0.csv,119,7798784,7929856,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000120.npy,data\raw\DroneRF\AR drone\10100H_0.csv,120,7864320,7995392,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000121.npy,data\raw\DroneRF\AR drone\10100H_0.csv,121,7929856,8060928,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000122.npy,data\raw\DroneRF\AR drone\10100H_0.csv,122,7995392,8126464,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000123.npy,data\raw\DroneRF\AR drone\10100H_0.csv,123,8060928,8192000,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000124.npy,data\raw\DroneRF\AR drone\10100H_0.csv,124,8126464,8257536,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000125.npy,data\raw\DroneRF\AR drone\10100H_0.csv,125,8192000,8323072,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000126.npy,data\raw\DroneRF\AR drone\10100H_0.csv,126,8257536,8388608,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000127.npy,data\raw\DroneRF\AR drone\10100H_0.csv,127,8323072,8454144,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000128.npy,data\raw\DroneRF\AR drone\10100H_0.csv,128,8388608,8519680,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000129.npy,data\raw\DroneRF\AR drone\10100H_0.csv,129,8454144,8585216,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000130.npy,data\raw\DroneRF\AR drone\10100H_0.csv,130,8519680,8650752,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000131.npy,data\raw\DroneRF\AR drone\10100H_0.csv,131,8585216,8716288,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000132.npy,data\raw\DroneRF\AR drone\10100H_0.csv,132,8650752,8781824,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000133.npy,data\raw\DroneRF\AR drone\10100H_0.csv,133,8716288,8847360,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000134.npy,data\raw\DroneRF\AR drone\10100H_0.csv,134,8781824,8912896,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000135.npy,data\raw\DroneRF\AR drone\10100H_0.csv,135,8847360,8978432,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000136.npy,data\raw\DroneRF\AR drone\10100H_0.csv,136,8912896,9043968,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000137.npy,data\raw\DroneRF\AR drone\10100H_0.csv,137,8978432,9109504,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000138.npy,data\raw\DroneRF\AR drone\10100H_0.csv,138,9043968,9175040,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000139.npy,data\raw\DroneRF\AR drone\10100H_0.csv,139,9109504,9240576,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000140.npy,data\raw\DroneRF\AR drone\10100H_0.csv,140,9175040,9306112,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000141.npy,data\raw\DroneRF\AR drone\10100H_0.csv,141,9240576,9371648,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000142.npy,data\raw\DroneRF\AR drone\10100H_0.csv,142,9306112,9437184,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000143.npy,data\raw\DroneRF\AR drone\10100H_0.csv,143,9371648,9502720,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000144.npy,data\raw\DroneRF\AR drone\10100H_0.csv,144,9437184,9568256,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000145.npy,data\raw\DroneRF\AR drone\10100H_0.csv,145,9502720,9633792,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000146.npy,data\raw\DroneRF\AR drone\10100H_0.csv,146,9568256,9699328,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000147.npy,data\raw\DroneRF\AR drone\10100H_0.csv,147,9633792,9764864,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000148.npy,data\raw\DroneRF\AR drone\10100H_0.csv,148,9699328,9830400,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000149.npy,data\raw\DroneRF\AR drone\10100H_0.csv,149,9764864,9895936,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000150.npy,data\raw\DroneRF\AR drone\10100H_0.csv,150,9830400,9961472,1,1,AR drone,10100H,0,DroneRF,val
data\processed\dronerf_spectrograms\spec_000151.npy,data\raw\DroneRF\AR drone\10100H_1.csv,0,0,131072,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000152.npy,data\raw\DroneRF\AR drone\10100H_1.csv,1,65536,196608,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000153.npy,data\raw\DroneRF\AR drone\10100H_1.csv,2,131072,262144,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000154.npy,data\raw\DroneRF\AR drone\10100H_1.csv,3,196608,327680,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000155.npy,data\raw\DroneRF\AR drone\10100H_1.csv,4,262144,393216,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000156.npy,data\raw\DroneRF\AR drone\10100H_1.csv,5,327680,458752,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000157.npy,data\raw\DroneRF\AR drone\10100H_1.csv,6,393216,524288,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000158.npy,data\raw\DroneRF\AR drone\10100H_1.csv,7,458752,589824,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000159.npy,data\raw\DroneRF\AR drone\10100H_1.csv,8,524288,655360,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000160.npy,data\raw\DroneRF\AR drone\10100H_1.csv,9,589824,720896,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000161.npy,data\raw\DroneRF\AR drone\10100H_1.csv,10,655360,786432,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000162.npy,data\raw\DroneRF\AR drone\10100H_1.csv,11,720896,851968,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000163.npy,data\raw\DroneRF\AR drone\10100H_1.csv,12,786432,917504,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000164.npy,data\raw\DroneRF\AR drone\10100H_1.csv,13,851968,983040,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000165.npy,data\raw\DroneRF\AR drone\10100H_1.csv,14,917504,1048576,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000166.npy,data\raw\DroneRF\AR drone\10100H_1.csv,15,983040,1114112,1,1,AR drone,10100H,1,DroneRF,val
data\processed\dronerf_spectrograms\spec_000167.npy,data\raw\DroneRF\AR drone\10100H_1.csv,16,1048576,1179648,1,1,AR drone,10100H,1,DroneRF,val
